Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,7,42,6,Some Random Commen with Id 0
1,2,4,88,0,Some Random Commen with Id 1
2,2,4,154,2,Some Random Commen with Id 2
3,3,9,106,2,Some Random Commen with Id 3
4,3,9,63,3,Some Random Commen with Id 4
5,3,9,81,4,Some Random Commen with Id 5
6,3,9,181,8,Some Random Commen with Id 6
7,4,9,12,8,Some Random Commen with Id 7
8,4,9,84,9,Some Random Commen with Id 8
9,4,9,97,8,Some Random Commen with Id 9
10,4,9,138,4,Some Random Commen with Id 10
11,4,9,197,6,Some Random Commen with Id 11
12,4,9,94,6,Some Random Commen with Id 12
13,5,9,4,9,Some Random Commen with Id 13
14,5,9,125,6,Some Random Commen with Id 14
15,5,9,178,7,Some Random Commen with Id 15
16,6,6,94,8,Some Random Commen with Id 16
17,6,6,191,5,Some Random Commen with Id 17
18,6,6,95,9,Some Random Commen with Id 18
19,6,6,23,5,Some Random Commen with Id 19
20,6,6,30,7,Some Random Commen with Id 20
21,6,6,8,4,Some Random Commen with Id 21
22,6,6,77,4,Some Random Commen with Id 22
23,6,6,103,4,Some Random Commen with Id 23
24,7,5,96,5,Some Random Commen with Id 24
25,7,5,166,5,Some Random Commen with Id 25
26,7,5,55,9,Some Random Commen with Id 26
27,7,5,15,4,Some Random Commen with Id 27
28,7,5,73,7,Some Random Commen with Id 28
29,7,5,189,8,Some Random Commen with Id 29
30,7,5,49,0,Some Random Commen with Id 30
31,7,5,152,6,Some Random Commen with Id 31
32,8,0,57,0,Some Random Commen with Id 32
33,8,0,73,7,Some Random Commen with Id 33
34,8,0,136,3,Some Random Commen with Id 34
35,8,0,69,2,Some Random Commen with Id 35
36,9,7,47,8,Some Random Commen with Id 36
37,9,7,184,0,Some Random Commen with Id 37
38,9,7,69,5,Some Random Commen with Id 38
39,9,7,179,1,Some Random Commen with Id 39
40,10,7,147,1,Some Random Commen with Id 40
41,10,7,152,2,Some Random Commen with Id 41
42,10,7,158,5,Some Random Commen with Id 42
43,10,7,87,9,Some Random Commen with Id 43
44,11,9,162,5,Some Random Commen with Id 44
45,11,9,99,6,Some Random Commen with Id 45
46,11,9,72,1,Some Random Commen with Id 46
47,11,9,71,8,Some Random Commen with Id 47
48,11,9,79,1,Some Random Commen with Id 48
49,12,4,149,5,Some Random Commen with Id 49
50,12,4,32,8,Some Random Commen with Id 50
51,13,4,145,7,Some Random Commen with Id 51
52,13,4,126,0,Some Random Commen with Id 52
53,13,4,68,7,Some Random Commen with Id 53
54,13,4,86,9,Some Random Commen with Id 54
55,13,4,137,7,Some Random Commen with Id 55
56,13,4,29,9,Some Random Commen with Id 56
57,13,4,17,8,Some Random Commen with Id 57
58,13,4,181,1,Some Random Commen with Id 58
59,13,4,167,1,Some Random Commen with Id 59
60,14,0,37,0,Some Random Commen with Id 60
61,14,0,66,4,Some Random Commen with Id 61
62,14,0,154,2,Some Random Commen with Id 62
63,15,8,81,2,Some Random Commen with Id 63
64,15,8,69,7,Some Random Commen with Id 64
65,15,8,93,2,Some Random Commen with Id 65
66,15,8,139,3,Some Random Commen with Id 66
67,16,8,175,3,Some Random Commen with Id 67
68,16,8,51,7,Some Random Commen with Id 68
69,16,8,135,9,Some Random Commen with Id 69
70,16,8,136,0,Some Random Commen with Id 70
71,16,8,5,9,Some Random Commen with Id 71
72,18,8,127,3,Some Random Commen with Id 72
73,18,8,50,2,Some Random Commen with Id 73
74,18,8,60,0,Some Random Commen with Id 74
75,19,1,102,3,Some Random Commen with Id 75
76,19,1,128,3,Some Random Commen with Id 76
77,19,1,74,9,Some Random Commen with Id 77
78,19,1,143,3,Some Random Commen with Id 78
79,19,1,177,2,Some Random Commen with Id 79
80,19,1,72,1,Some Random Commen with Id 80
81,19,1,199,5,Some Random Commen with Id 81
82,19,1,112,5,Some Random Commen with Id 82
83,19,1,21,5,Some Random Commen with Id 83
84,20,6,74,1,Some Random Commen with Id 84
85,20,6,105,0,Some Random Commen with Id 85
86,21,2,156,7,Some Random Commen with Id 86
87,21,2,59,4,Some Random Commen with Id 87
88,21,2,152,0,Some Random Commen with Id 88
89,22,1,93,4,Some Random Commen with Id 89
90,22,1,36,6,Some Random Commen with Id 90
91,22,1,13,9,Some Random Commen with Id 91
92,22,1,36,1,Some Random Commen with Id 92
93,22,1,75,2,Some Random Commen with Id 93
94,22,1,97,6,Some Random Commen with Id 94
95,22,1,37,9,Some Random Commen with Id 95
96,23,9,136,6,Some Random Commen with Id 96
97,23,9,112,9,Some Random Commen with Id 97
98,23,9,98,2,Some Random Commen with Id 98
99,23,9,38,9,Some Random Commen with Id 99
100,23,9,66,8,Some Random Commen with Id 100
101,24,6,139,3,Some Random Commen with Id 101
102,24,6,16,8,Some Random Commen with Id 102
103,24,6,32,7,Some Random Commen with Id 103
104,25,7,2,7,Some Random Commen with Id 104
105,25,7,77,7,Some Random Commen with Id 105
106,25,7,21,7,Some Random Commen with Id 106
107,25,7,189,6,Some Random Commen with Id 107
108,25,7,33,6,Some Random Commen with Id 108
109,25,7,172,4,Some Random Commen with Id 109
110,25,7,27,4,Some Random Commen with Id 110
111,26,0,51,0,Some Random Commen with Id 111
112,26,0,115,9,Some Random Commen with Id 112
113,26,0,161,2,Some Random Commen with Id 113
114,28,9,180,6,Some Random Commen with Id 114
115,28,9,69,8,Some Random Commen with Id 115
116,29,2,194,4,Some Random Commen with Id 116
117,29,2,192,9,Some Random Commen with Id 117
118,29,2,58,2,Some Random Commen with Id 118
119,29,2,0,8,Some Random Commen with Id 119
120,29,2,96,4,Some Random Commen with Id 120
121,29,2,78,3,Some Random Commen with Id 121
122,29,2,59,3,Some Random Commen with Id 122
123,31,9,148,8,Some Random Commen with Id 123
124,31,9,189,8,Some Random Commen with Id 124
125,31,9,88,4,Some Random Commen with Id 125
126,31,9,148,0,Some Random Commen with Id 126
127,31,9,196,2,Some Random Commen with Id 127
128,31,9,73,0,Some Random Commen with Id 128
